key,0,1
#,,
int32,str,str
0,"TEXT_BANSYL301_01277_SEQ_00","風精靈暫留地的莫奇希亞想要借助冒險者的力量。"
1,"TEXT_BANSYL301_01277_SEQ_01","莫奇希亞委託冒險者去討伐能產出乳根的魔物。討伐風精靈領西部的<Sheet(BNpcName,162,0)/>或<Sheet(BNpcName,165,0)/>，收集6份<Sheet(EventItem,2001122,0)/>。"
2,"TEXT_BANSYL301_01277_SEQ_02","獲得了<Sheet(EventItem,2001122,0)/>。將<Sheet(EventItem,2001122,0)/>交給風精靈暫留地的莫奇希亞。"
3,"TEXT_BANSYL301_01277_SEQ_03","將委託品交給了莫奇希亞。莫奇希亞對這一舉兩得的解決辦法感到很滿意，並感謝了冒險者。下次有機會再協助他。"
4,"TEXT_BANSYL301_01277_SEQ_04","空欄"
5,"TEXT_BANSYL301_01277_SEQ_05","空欄"
6,"TEXT_BANSYL301_01277_SEQ_06","空欄"
7,"TEXT_BANSYL301_01277_SEQ_07","空欄"
8,"TEXT_BANSYL301_01277_SEQ_08","空欄"
9,"TEXT_BANSYL301_01277_SEQ_09","空欄"
10,"TEXT_BANSYL301_01277_SEQ_10","空欄"
11,"TEXT_BANSYL301_01277_SEQ_11","空欄"
12,"TEXT_BANSYL301_01277_SEQ_12","空欄"
13,"TEXT_BANSYL301_01277_SEQ_13","空欄"
14,"TEXT_BANSYL301_01277_SEQ_14","空欄"
15,"TEXT_BANSYL301_01277_SEQ_15","空欄"
16,"TEXT_BANSYL301_01277_SEQ_16","空欄"
17,"TEXT_BANSYL301_01277_SEQ_17","空欄"
18,"TEXT_BANSYL301_01277_SEQ_18","空欄"
19,"TEXT_BANSYL301_01277_SEQ_19","空欄"
20,"TEXT_BANSYL301_01277_SEQ_20","空欄"
21,"TEXT_BANSYL301_01277_SEQ_21","空欄"
22,"TEXT_BANSYL301_01277_SEQ_22","空欄"
23,"TEXT_BANSYL301_01277_SEQ_23",""
24,"TEXT_BANSYL301_01277_TODO_00","討伐<Sheet(BNpcName,162,0)/>或<Sheet(BNpcName,165,0)/>
獲取<Sheet(EventItem,2001122,0)/>"
25,"TEXT_BANSYL301_01277_TODO_01","將<Sheet(EventItem,2001122,0)/>交給莫奇希亞"
26,"TEXT_BANSYL301_01277_TODO_02","空欄"
27,"TEXT_BANSYL301_01277_TODO_03","空欄"
28,"TEXT_BANSYL301_01277_TODO_04","空欄"
29,"TEXT_BANSYL301_01277_TODO_05","空欄"
30,"TEXT_BANSYL301_01277_TODO_06","空欄"
31,"TEXT_BANSYL301_01277_TODO_07","空欄"
32,"TEXT_BANSYL301_01277_TODO_08","空欄"
33,"TEXT_BANSYL301_01277_TODO_09","空欄"
34,"TEXT_BANSYL301_01277_TODO_10","空欄"
35,"TEXT_BANSYL301_01277_TODO_11","空欄"
36,"TEXT_BANSYL301_01277_TODO_12","空欄"
37,"TEXT_BANSYL301_01277_TODO_13","空欄"
38,"TEXT_BANSYL301_01277_TODO_14","空欄"
39,"TEXT_BANSYL301_01277_TODO_15","空欄"
40,"TEXT_BANSYL301_01277_TODO_16","空欄"
41,"TEXT_BANSYL301_01277_TODO_17","空欄"
42,"TEXT_BANSYL301_01277_TODO_18","空欄"
43,"TEXT_BANSYL301_01277_TODO_19","空欄"
44,"TEXT_BANSYL301_01277_TODO_20","空欄"
45,"TEXT_BANSYL301_01277_TODO_21","空欄"
46,"TEXT_BANSYL301_01277_TODO_22","空欄"
47,"TEXT_BANSYL301_01277_TODO_23",""
48,"TEXT_BANSYL301_01277_MOXIA_000_000","冒險者，有件事想請你幫忙呼啾。
壞風精靈們最近很猖狂呼啾。"
49,"TEXT_BANSYL301_01277_MOXIA_000_001","那些傢伙可能是乳根吃太多了，
我們不管怎樣對他們惡作劇，
他們都無動於衷呼啾。"
50,"TEXT_BANSYL301_01277_MOXIA_000_002","對此，我有個好點子呼啾。
我想請你去打倒那些能產出乳根的魔物呼啾！"
51,"TEXT_BANSYL301_01277_MOXIA_000_003","我想請你去除掉<Sheet(BNpcName,162,0)/>或<Sheet(BNpcName,165,0)/>，
收集6份<Sheet(EventItem,2001122,0)/>呼啾！"
52,"TEXT_BANSYL301_01277_MOXIA_000_004","空欄"
53,"TEXT_BANSYL301_01277_MOXIA_000_010","我想請你去除掉<Sheet(BNpcName,162,0)/>或<Sheet(BNpcName,165,0)/>，
收集6份<Sheet(EventItem,2001122,0)/>呼啾！"
54,"TEXT_BANSYL301_01277_MOXIA_000_020","冒險者朋友！
你幹掉那些產出乳根的魔物了嗎呼啾？"
55,"TEXT_BANSYL301_01277_MOXIA_000_021","噢噢，幹得好呼啾。
這下壞風精靈們就有一陣子沒乳根用了呼啾！"
56,"TEXT_BANSYL301_01277_MOXIA_000_022","並且，我手裡有了這麼多的<Sheet(EventItem,2001122,0)/>……
呼啾啾……真是一舉兩得呼啾。
止不住笑啊呼啾……呼啾啾啾。"
