key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSE102_01176_SEQ_00","敏菲利亞有事情想要告訴冒險者。"
1,"TEXT_GAIUSE102_01176_SEQ_01","<UIForeground>F20215</UIForeground><UIGlow>F20216</UIGlow><Gui(63)/>本任務已經過調整。建議放棄本任務，前往砂之家找敏菲利亞重新領取。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

※接下來的主線任務可以在主線導覽中進行確認。在設定選單的系統中可以找到角色設定，打開角色設定後，在介面設定的介面選項中可以顯示或隱藏主線導覽。"
2,"TEXT_GAIUSE102_01176_SEQ_02","敏菲利亞之所以會對砂之家的遷移有所躊躇，是因為在等一個叫做芙·拉敏的人。為了獲取芙·拉敏的情報，前往聖阿達瑪·蘭達瑪教會，和伊琉德談談。"
3,"TEXT_GAIUSE102_01176_SEQ_03","據伊琉德所說，前來掃墓的男子握有關於芙·拉敏的情報。前往聖阿達瑪·蘭達瑪教會的墓地，和掃墓的男子談談。"
4,"TEXT_GAIUSE102_01176_SEQ_04","疑似芙·拉敏的女性在太陽海岸對舞者們進行指導。向聖阿達瑪·蘭達瑪教會的伊琉德報告。"
5,"TEXT_GAIUSE102_01176_SEQ_05","和伊琉德進行了交談。雖然不能斷定在太陽海岸目擊到的那位女性就是芙·拉敏，不過有打聽一下的價值。"
6,"TEXT_GAIUSE102_01176_SEQ_06","空"
7,"TEXT_GAIUSE102_01176_SEQ_07","空"
8,"TEXT_GAIUSE102_01176_SEQ_08","空"
9,"TEXT_GAIUSE102_01176_SEQ_09","空"
10,"TEXT_GAIUSE102_01176_SEQ_10","空"
11,"TEXT_GAIUSE102_01176_SEQ_11","空"
12,"TEXT_GAIUSE102_01176_SEQ_12","空"
13,"TEXT_GAIUSE102_01176_SEQ_13","空"
14,"TEXT_GAIUSE102_01176_SEQ_14","空"
15,"TEXT_GAIUSE102_01176_SEQ_15","空"
16,"TEXT_GAIUSE102_01176_SEQ_16","空"
17,"TEXT_GAIUSE102_01176_SEQ_17","空"
18,"TEXT_GAIUSE102_01176_SEQ_18","空"
19,"TEXT_GAIUSE102_01176_SEQ_19","空"
20,"TEXT_GAIUSE102_01176_SEQ_20","空"
21,"TEXT_GAIUSE102_01176_SEQ_21","空"
22,"TEXT_GAIUSE102_01176_SEQ_22","空"
