key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSA403_00745_SEQ_00","風精靈暫留地的諾蕾克希亞，十分感謝冒險者。"
1,"TEXT_GAIUSA403_00745_SEQ_01","諾蕾克希亞似乎想報答冒險者。削弱<Sheet(BNpcName,2187,0)/>的體力後，對其使用<Sheet(EventItem,2000597,0)/>，獲得3份<Sheet(EventItem,2000598,0)/>。"
2,"TEXT_GAIUSA403_00745_SEQ_02","成功獲得了<Sheet(EventItem,2000598,0)/>。返回風精靈暫留地，將<Sheet(EventItem,2000598,0)/>交給諾蕾克希亞。"
3,"TEXT_GAIUSA403_00745_SEQ_03","諾蕾克希亞使用<Sheet(EventItem,2000598,0)/>為冒險者製作了一件作為護身符的衣服。衣服中飽含諾蕾克希亞的感謝之意，請愛惜使用。"
4,"TEXT_GAIUSA403_00745_SEQ_04","無"
5,"TEXT_GAIUSA403_00745_SEQ_05","無"
6,"TEXT_GAIUSA403_00745_SEQ_06","無"
7,"TEXT_GAIUSA403_00745_SEQ_07","無"
8,"TEXT_GAIUSA403_00745_SEQ_08","無"
9,"TEXT_GAIUSA403_00745_SEQ_09","無"
10,"TEXT_GAIUSA403_00745_SEQ_10","無"
11,"TEXT_GAIUSA403_00745_SEQ_11","無"
12,"TEXT_GAIUSA403_00745_SEQ_12","無"
13,"TEXT_GAIUSA403_00745_SEQ_13","無"
14,"TEXT_GAIUSA403_00745_SEQ_14","無"
15,"TEXT_GAIUSA403_00745_SEQ_15","無"
16,"TEXT_GAIUSA403_00745_SEQ_16","無"
17,"TEXT_GAIUSA403_00745_SEQ_17","無"
18,"TEXT_GAIUSA403_00745_SEQ_18","無"
19,"TEXT_GAIUSA403_00745_SEQ_19","無"
20,"TEXT_GAIUSA403_00745_SEQ_20","無"
21,"TEXT_GAIUSA403_00745_SEQ_21","無"
22,"TEXT_GAIUSA403_00745_SEQ_22","無"
23,"TEXT_GAIUSA403_00745_SEQ_23","無"
24,"TEXT_GAIUSA403_00745_TODO_00","削弱<Sheet(BNpcName,2187,0)/>的體力 使用<Sheet(EventItem,2000597,0)/>採集所需物品"
25,"TEXT_GAIUSA403_00745_TODO_01","將<Sheet(EventItem,2000598,0)/>交給諾蕾克希亞"
26,"TEXT_GAIUSA403_00745_TODO_02","無"
27,"TEXT_GAIUSA403_00745_TODO_03","無"
28,"TEXT_GAIUSA403_00745_TODO_04","無"
29,"TEXT_GAIUSA403_00745_TODO_05","無"
30,"TEXT_GAIUSA403_00745_TODO_06","無"
31,"TEXT_GAIUSA403_00745_TODO_07","無"
32,"TEXT_GAIUSA403_00745_TODO_08","無"
33,"TEXT_GAIUSA403_00745_TODO_09","無"
34,"TEXT_GAIUSA403_00745_TODO_10","無"
35,"TEXT_GAIUSA403_00745_TODO_11","無"
36,"TEXT_GAIUSA403_00745_TODO_12","無"
37,"TEXT_GAIUSA403_00745_TODO_13","無"
38,"TEXT_GAIUSA403_00745_TODO_14","無"
39,"TEXT_GAIUSA403_00745_TODO_15","無"
40,"TEXT_GAIUSA403_00745_TODO_16","無"
41,"TEXT_GAIUSA403_00745_TODO_17","無"
42,"TEXT_GAIUSA403_00745_TODO_18","無"
43,"TEXT_GAIUSA403_00745_TODO_19","無"
44,"TEXT_GAIUSA403_00745_TODO_20","無"
45,"TEXT_GAIUSA403_00745_TODO_21","無"
46,"TEXT_GAIUSA403_00745_TODO_22","無"
47,"TEXT_GAIUSA403_00745_TODO_23","無"
48,"TEXT_GAIUSA403_00745_KNOLEXIA_000_000","你不只拯救了族長大人，還關照了不少我的同伴呼啾。
我想報答你一下啊呼啾……"
49,"TEXT_GAIUSA403_00745_KNOLEXIA_000_001","對了呼啾！
請你從<Sheet(BNpcName,2187,0)/>身上獲得3份<Sheet(EventItem,2000598,0)/>呼啾！"
50,"TEXT_GAIUSA403_00745_KNOLEXIA_000_002","給你這個<Sheet(EventItem,2000597,0)/>呼啾。
在你削弱<Sheet(BNpcName,2187,0)/>之後，
對其使用這個，就能獲得<Sheet(EventItem,2000598,0)/>了呼啾！"
51,"TEXT_GAIUSA403_00745_TODO_000_010","討伐3隻沙蚤並獲得沙蚤的鮮血
（將沙蚤的HP減至四分之一以下後，
對其使用任務道具即可獲得）"
52,"TEXT_GAIUSA403_00745_KNOLEXIA_000_020","你去打了<Sheet(BNpcName,2187,0)/>嗎呼啾？"
53,"TEXT_GAIUSA403_00745_KNOLEXIA_000_021","將這個繞到這邊……
和線一起……縫起來……"
54,"TEXT_GAIUSA403_00745_KNOLEXIA_000_022","我完成了呼啾！
這就是為你特製的護身符衣服呼啾！"
55,"TEXT_GAIUSA403_00745_KNOLEXIA_000_023","你是冒險者吧呼啾？
只要將這個穿在身上，就能遠離危險了呼啾！"
56,"TEXT_GAIUSA403_00745_KNOLEXIA_000_024","這裡面飽含了我的感謝之意呼啾。
請你一定要收下呼啾！"
