key,0,1
#,,
int32,str,str
0,"TEXT_BANMOG102_02291_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
憶念廣場的機靈的莫古艾克似乎有些不安。"
1,"TEXT_BANMOG102_02291_SEQ_01","※本任務為<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等級調整任務。

莫古艾克委託冒險者去幫幫前往遺跡尋找材料還未歸來的莫古利族。和書信之家的尋找材料的莫古利族談談。"
2,"TEXT_BANMOG102_02291_SEQ_02","和尋找材料的莫古利族進行了交談，他委託冒險者用<Sheet(Item,15752,0)/>製作<Sheet(Item,15726,0)/>。用<Sheet(Item,15752,0)/>製作<Sheet(Item,15726,0)/>，並將其交給憶念廣場的機靈的莫古艾克。

※如果<Sheet(Item,15752,0)/>不足，可以與尋找材料的莫古利族對話重新獲得材料，並再次進行挑戰。"
3,"TEXT_BANMOG102_02291_SEQ_03","將<Sheet(Item,15726,0)/>交給了莫古艾克。莫古艾克對於遺跡裡還殘留著有用的物料一事非常驚訝，感覺他會繼續拜託尋找材料的莫古利族尋找能夠回收利用的材料。"
4,"TEXT_BANMOG102_02291_SEQ_04",""
5,"TEXT_BANMOG102_02291_SEQ_05",""
6,"TEXT_BANMOG102_02291_SEQ_06",""
7,"TEXT_BANMOG102_02291_SEQ_07",""
8,"TEXT_BANMOG102_02291_SEQ_08",""
9,"TEXT_BANMOG102_02291_SEQ_09",""
10,"TEXT_BANMOG102_02291_SEQ_10",""
11,"TEXT_BANMOG102_02291_SEQ_11",""
12,"TEXT_BANMOG102_02291_SEQ_12",""
13,"TEXT_BANMOG102_02291_SEQ_13",""
14,"TEXT_BANMOG102_02291_SEQ_14",""
15,"TEXT_BANMOG102_02291_SEQ_15",""
16,"TEXT_BANMOG102_02291_SEQ_16",""
17,"TEXT_BANMOG102_02291_SEQ_17",""
18,"TEXT_BANMOG102_02291_SEQ_18",""
19,"TEXT_BANMOG102_02291_SEQ_19",""
20,"TEXT_BANMOG102_02291_SEQ_20",""
21,"TEXT_BANMOG102_02291_SEQ_21",""
22,"TEXT_BANMOG102_02291_SEQ_22",""
