key,0,1
#,,
int32,str,str
0,"TEXT_FESPDY901_04810_SEQ_00","※本任務是特定期間內的任務。

米·凱特露天劇場的吉莉·阿里亞珀正在為慶典做準備。"
1,"TEXT_FESPDY901_04810_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。
　季節活動結束後無法進行，敬請注意。
　詳情請參閱官方網站。

和吉莉·阿里亞珀等人就古卜一事進行了交談。為了讓彩蛋狩獵慶典變得熱鬧起來，和中央林區彎枝牧場的阿爾德蒙德談談。"
2,"TEXT_FESPDY901_04810_SEQ_02","和阿爾德蒙德進行了交談。皮蒂似乎只在有人騎在自己肩膀上時才能靜下心來。為了讓皮蒂能夠好好表演才藝，和阿爾德蒙德談談，騎到皮蒂肩膀上。"
3,"TEXT_FESPDY901_04810_SEQ_03","和阿爾德蒙德進行了交談，騎乘在了皮蒂肩膀上。請騎乘著皮蒂，向彎枝牧場的人們展示彩蛋幻影，宣傳分送裝飾彩蛋的事。

※和彎枝牧場的阿爾德蒙德對話即可騎乘皮蒂。"
4,"TEXT_FESPDY901_04810_SEQ_04","向人們展示了皮蒂的才藝，宣傳了分發裝飾彩蛋的事。回到彎枝牧場的阿爾德蒙德身邊。"
5,"TEXT_FESPDY901_04810_SEQ_05","回到了阿爾德蒙德身邊，得知裝飾彩蛋的分發狀況盛况空前。和皮蒂一起讓彩蛋狩獵大獲成功。這下應該就可以把皮蒂也邀請到女兒節了吧……和似乎已經下定決心的管家之王對話，了解一下情況。"
6,"TEXT_FESPDY901_04810_SEQ_06",""
7,"TEXT_FESPDY901_04810_SEQ_07",""
8,"TEXT_FESPDY901_04810_SEQ_08",""
9,"TEXT_FESPDY901_04810_SEQ_09",""
10,"TEXT_FESPDY901_04810_SEQ_10",""
11,"TEXT_FESPDY901_04810_SEQ_11",""
12,"TEXT_FESPDY901_04810_SEQ_12",""
13,"TEXT_FESPDY901_04810_SEQ_13",""
14,"TEXT_FESPDY901_04810_SEQ_14",""
15,"TEXT_FESPDY901_04810_SEQ_15",""
16,"TEXT_FESPDY901_04810_SEQ_16",""
17,"TEXT_FESPDY901_04810_SEQ_17",""
18,"TEXT_FESPDY901_04810_SEQ_18",""
19,"TEXT_FESPDY901_04810_SEQ_19",""
20,"TEXT_FESPDY901_04810_SEQ_20",""
